fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,off_rtg,def_rtg,game_id,Location,Opponent,Win,opp_fg,opp_fga,opp_fg_pct,opp_fg3,opp_fg3a,opp_fg3_pct,opp_ft,opp_fta,opp_ft_pct,opp_orb,opp_drb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,opp_pts,opp_ts_pct,opp_efg_pct,opp_fg3a_per_fga_pct,opp_fta_per_fga_pct,opp_orb_pct,opp_drb_pct,opp_trb_pct,opp_ast_pct,opp_stl_pct,opp_blk_pct,opp_tov_pct,opp_off_rtg,opp_def_rtg
37,86,0.43,8,28,0.286,15,21,0.714,8,31,39,18,3,8,14,14,97,0.509,0.477,0.326,0.244,18.6,79.5,47.6,48.6,3.1,18.2,12.8,99.9,127.7,7ffa48e3-1227-4c91-b00b-f5eb11e1a9f3,Away,BRK,0,46,90,0.511,22,46,0.478,10,13,0.769,8,35,43,30,6,4,10,16,124,0.648,0.633,0.511,0.144,20.5,81.4,52.4,65.2,6.2,6.9,9.5,127.7,99.9
37,87,0.425,11,34,0.324,17,23,0.739,12,30,42,23,4,4,12,19,102,0.525,0.489,0.391,0.264,26.7,71.4,48.3,62.2,4.3,7.1,11.0,108.9,121.7,4862c5ad-8c01-4eab-b761-2c5095baa5b4,Away,BRK,0,41,88,0.466,15,32,0.469,17,22,0.773,12,33,45,28,6,8,11,19,114,0.584,0.551,0.364,0.25,28.6,73.3,51.7,68.3,6.4,15.1,10.1,121.7,108.9
44,87,0.506,10,31,0.323,18,23,0.783,13,38,51,26,6,5,16,13,116,0.597,0.563,0.356,0.264,36.1,69.1,56.0,59.1,6.3,10.6,14.1,121.6,104.8,9c8745a2-fcda-4386-aa59-f58a612eafad,Away,NYK,1,38,99,0.384,16,52,0.308,8,11,0.727,17,23,40,27,8,6,12,18,100,0.482,0.465,0.525,0.111,30.9,63.9,44.0,71.1,8.4,10.7,10.4,104.8,121.6
43,84,0.512,11,30,0.367,15,20,0.75,8,34,42,27,7,3,11,17,112,0.603,0.577,0.357,0.238,20.0,77.3,50.0,62.8,7.3,6.7,10.6,116.1,104.7,76bb4683-5e31-4b2a-a97e-ea39450db747,Home,CLE,1,39,89,0.438,10,44,0.227,13,17,0.765,10,32,42,27,5,4,15,16,101,0.523,0.494,0.494,0.191,22.7,80.0,50.0,69.2,5.2,7.4,13.5,104.7,116.1
37,87,0.425,15,35,0.429,10,15,0.667,15,32,47,21,9,5,16,20,99,0.529,0.511,0.402,0.172,34.9,76.2,55.3,56.8,10.1,10.4,14.6,111.2,103.3,e29814a5-02de-4e0f-83bf-b00c991c1eee,Away,MEM,1,30,74,0.405,10,26,0.385,22,30,0.733,10,28,38,21,10,11,13,19,92,0.528,0.473,0.351,0.405,23.8,65.1,44.7,70.0,11.2,21.2,13.0,103.3,111.2
38,91,0.418,17,46,0.37,10,13,0.769,12,29,41,28,6,4,11,15,103,0.532,0.511,0.505,0.143,23.5,87.9,48.8,73.7,6.5,8.3,10.2,111.0,125.1,391e2bb3-37f6-4ad6-b5b9-25b45b5ff6a6,Home,NOP,0,43,75,0.573,14,27,0.519,16,22,0.727,4,39,43,32,8,7,12,10,116,0.685,0.667,0.36,0.293,12.1,76.5,51.2,74.4,8.6,15.6,12.4,125.1,111.0
38,88,0.432,14,39,0.359,12,18,0.667,13,25,38,19,11,6,15,23,102,0.532,0.511,0.443,0.205,26.0,67.6,43.7,50.0,11.5,11.5,13.5,107.0,111.2,033f20ff-56f9-4121-8788-70126250c12e,Away,POR,0,38,82,0.463,10,30,0.333,20,24,0.833,12,37,49,24,7,5,18,21,106,0.573,0.524,0.366,0.293,32.4,74.0,56.3,63.2,7.3,10.2,16.3,111.2,107.0
41,92,0.446,20,39,0.513,20,27,0.741,11,30,41,32,7,5,9,16,122,0.587,0.554,0.424,0.293,22.0,75.0,45.6,78.0,7.0,9.3,8.0,122.6,124.6,6dd5f2cc-68d0-49ea-9bf8-a5a996a97675,Away,UTA,0,46,90,0.511,14,36,0.389,18,20,0.9,10,39,49,24,6,7,13,21,124,0.628,0.589,0.4,0.222,25.0,78.0,54.4,52.2,6.0,13.2,11.6,124.6,122.6
41,84,0.488,17,34,0.5,11,12,0.917,10,35,45,32,10,7,16,22,110,0.616,0.589,0.405,0.143,25.0,77.8,52.9,78.0,10.9,18.4,15.2,119.6,101.1,41cb260d-f5fb-4b3d-8823-f016253a1119,Away,LAC,1,28,74,0.378,11,36,0.306,26,29,0.897,10,30,40,17,10,5,16,13,93,0.536,0.453,0.486,0.392,22.2,75.0,47.1,60.7,10.9,10.0,15.6,101.1,119.6
42,98,0.429,9,41,0.22,12,15,0.8,12,30,42,32,8,5,9,14,105,0.502,0.474,0.418,0.153,21.4,88.2,46.7,76.2,7.9,9.3,7.9,103.8,134.4,fefb2ab3-4bea-4968-a9ef-ee99da3f4735,Away,LAL,0,52,90,0.578,15,36,0.417,17,20,0.85,4,44,48,39,6,4,9,15,136,0.688,0.661,0.4,0.222,11.8,78.6,53.3,75.0,5.9,7.0,8.3,134.4,103.8
40,91,0.44,12,35,0.343,23,29,0.793,12,24,36,27,11,3,11,23,115,0.554,0.505,0.385,0.319,27.9,77.4,48.6,67.5,11.4,9.1,9.6,119.7,133.2,f00dd152-31de-46b9-b39e-6a3477605a7f,Away,PHO,0,41,74,0.554,22,41,0.537,24,27,0.889,7,31,38,28,4,11,17,19,128,0.745,0.703,0.554,0.365,22.6,72.1,51.4,68.3,4.2,19.6,16.5,133.2,119.7
50,90,0.556,20,42,0.476,12,14,0.857,11,32,43,40,9,5,9,14,132,0.686,0.667,0.467,0.156,28.2,74.4,52.4,80.0,9.8,11.1,8.6,143.7,99.1,70b5227d-9722-4eff-81fb-b1427ef6c7d6,Home,CHO,1,35,84,0.417,11,39,0.282,10,14,0.714,11,28,39,25,3,4,15,9,91,0.505,0.482,0.464,0.167,25.6,71.8,47.6,71.4,3.3,8.3,14.3,99.1,143.7
46,87,0.529,18,36,0.5,10,17,0.588,15,29,44,30,5,3,13,18,120,0.635,0.632,0.414,0.195,36.6,70.7,53.7,65.2,5.3,5.3,12.1,128.1,126.0,e0b761ba-9131-454b-8d46-9dfc8391f73c,Home,BOS,1,47,95,0.495,11,38,0.289,13,19,0.684,12,26,38,21,7,8,9,16,118,0.571,0.553,0.4,0.2,29.3,63.4,46.3,44.7,7.5,15.7,8.0,126.0,128.1
44,85,0.518,16,41,0.39,16,20,0.8,8,33,41,23,12,9,17,17,120,0.64,0.612,0.482,0.235,22.9,84.6,55.4,52.3,11.9,16.7,15.3,119.4,105.4,a4a178c2-7eb0-49cc-b2ae-1e6eee7f1574,Home,POR,1,43,85,0.506,14,31,0.452,6,10,0.6,6,27,33,35,8,2,19,18,106,0.593,0.588,0.365,0.118,15.4,77.1,44.6,81.4,8.0,4.5,17.5,105.4,119.4
51,104,0.49,15,44,0.341,6,10,0.6,17,36,53,24,5,5,11,17,123,0.567,0.563,0.423,0.096,33.3,80.0,55.2,47.1,4.9,8.6,9.2,120.6,119.6,8cb08842-c6e8-4668-a3a2-a2ee42738eab,Home,BOS,1,45,94,0.479,14,36,0.389,18,21,0.857,9,34,43,28,7,6,12,15,122,0.591,0.553,0.383,0.223,20.0,66.7,44.8,62.2,6.9,10.0,10.4,119.6,120.6
42,92,0.457,14,35,0.4,15,18,0.833,9,30,39,24,5,3,11,26,113,0.565,0.533,0.38,0.196,20.9,83.3,49.4,57.1,5.1,6.0,9.9,114.9,124.0,d824565f-33be-4713-953f-9beead2f73cb,Home,MIL,0,43,78,0.551,8,28,0.286,28,35,0.8,6,34,40,27,7,5,12,18,122,0.653,0.603,0.359,0.449,16.7,79.1,50.6,62.8,7.1,8.8,11.4,124.0,114.9
41,82,0.5,19,40,0.475,12,18,0.667,8,37,45,29,4,5,15,21,113,0.628,0.616,0.488,0.22,18.6,69.8,46.9,70.7,4.2,7.6,14.3,119.4,106.8,cf485398-22f0-441b-909b-a98f3500eb90,Away,CHI,1,37,94,0.394,7,28,0.25,20,24,0.833,16,35,51,17,8,2,8,17,101,0.483,0.431,0.298,0.255,30.2,81.4,53.1,45.9,8.5,4.8,7.1,106.8,119.4
49,90,0.544,13,38,0.342,10,15,0.667,6,42,48,36,9,8,16,13,121,0.626,0.617,0.422,0.167,17.1,84.0,56.5,73.5,8.6,12.5,14.2,116.3,108.6,9184ac79-8144-46aa-b3c3-529ee88324d0,Home,DET,1,43,94,0.457,10,30,0.333,17,21,0.81,8,29,37,24,14,3,10,13,113,0.547,0.511,0.319,0.223,16.0,82.9,43.5,55.8,13.5,5.8,8.8,108.6,116.3
34,85,0.4,13,38,0.342,14,21,0.667,11,45,56,21,7,2,21,22,95,0.504,0.476,0.447,0.247,20.8,80.4,51.4,61.8,6.8,4.4,18.2,92.2,105.8,0c4ca928-28e0-4c3b-8fda-009266fefae9,Away,DAL,0,38,94,0.404,18,49,0.367,15,17,0.882,11,42,53,20,7,7,14,17,109,0.537,0.5,0.521,0.181,19.6,79.2,48.6,52.6,6.8,14.9,12.1,105.8,92.2
37,87,0.425,12,37,0.324,24,29,0.828,11,27,38,30,8,2,16,18,110,0.551,0.494,0.425,0.333,21.2,81.8,44.7,81.1,7.7,4.3,13.8,105.8,136.6,88114885-edf3-4f0f-ae0b-4e7a82824370,Away,DEN,0,53,88,0.602,23,41,0.561,13,16,0.813,6,41,47,38,9,7,17,21,142,0.747,0.733,0.466,0.182,18.2,78.8,55.3,71.7,8.7,14.0,15.2,136.6,105.8
45,113,0.398,10,46,0.217,11,14,0.786,17,42,59,28,13,2,16,23,111,0.466,0.442,0.407,0.124,29.3,89.4,56.2,62.2,11.7,4.7,11.8,99.8,105.2,aeb066d9-8824-4ea3-b9b3-554c4273315d,Home,MIA,0,42,88,0.477,18,45,0.4,15,21,0.714,5,41,46,29,8,3,18,16,117,0.602,0.58,0.511,0.239,10.6,70.7,43.8,69.0,7.2,4.5,15.6,105.2,99.8
43,82,0.524,18,40,0.45,10,16,0.625,7,31,38,35,7,2,18,20,114,0.64,0.634,0.488,0.195,20.0,86.1,53.5,81.4,7.2,4.7,16.8,117.5,118.5,d1946051-f1f9-4a89-b561-01346286fc38,Home,CHO,0,40,79,0.506,14,36,0.389,21,22,0.955,5,28,33,25,11,2,14,18,115,0.648,0.595,0.456,0.278,13.9,80.0,46.5,62.5,11.3,4.8,13.6,118.5,117.5
40,90,0.444,9,30,0.3,17,25,0.68,9,31,40,23,4,1,15,25,106,0.525,0.494,0.333,0.278,19.6,81.6,47.6,57.5,4.0,2.4,12.9,105.4,108.4,ed2ebccc-6bd2-4615-91e1-c1d24bd9ea29,Away,MIN,0,38,79,0.481,10,37,0.27,23,29,0.793,7,37,44,29,8,11,14,22,109,0.594,0.544,0.468,0.367,18.4,80.4,52.4,76.3,8.0,18.3,13.2,108.4,105.4
39,89,0.438,12,36,0.333,25,27,0.926,9,23,32,25,6,5,17,12,115,0.57,0.506,0.404,0.303,20.0,65.7,40.0,64.1,5.6,7.8,14.4,107.8,147.2,915414ec-fe0e-44f7-8344-dcde2ba0ae8f,Away,IND,0,65,100,0.65,19,36,0.528,8,10,0.8,12,36,48,41,10,6,16,24,157,0.752,0.745,0.36,0.1,34.3,80.0,60.0,63.1,9.4,11.3,13.3,147.2,107.8
