mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,Location,Opponent,opp_mp,opp_fg,opp_fga,opp_fg_pct,opp_fg3,opp_fg3a,opp_fg3_pct,opp_ft,opp_fta,opp_ft_pct,opp_orb,opp_drb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,opp_pts,opp_game_score,opp_plus_minus,opp_ts_pct,opp_efg_pct,opp_fg3a_per_fga_pct,opp_fta_per_fga_pct,opp_orb_pct,opp_drb_pct,opp_trb_pct,opp_ast_pct,opp_stl_pct,opp_blk_pct,opp_tov_pct,opp_usg_pct,opp_off_rtg,opp_def_rtg,opp_bpm,opp_Location,opp_Opponent
265,40,94,.426,17,42,.405,15,17,.882,14,30,44,26,3,7,15,22,112,,,.552,.516,.447,.181,26.4,71.4,46.3,65.0,3.0,10.6,12.9,100.0,111.0,118.0,,Home,CHI,265,45,92,.489,9,26,.346,20,24,.833,12,39,51,27,7,7,14,18,119,,,.580,.538,.283,.261,28.6,73.6,53.7,60.0,6.9,13.5,12.0,100.0,118.0,111.0,,Away,CHO
240,35,87,.402,16,38,.421,12,16,.750,8,28,36,17,2,3,10,16,98,,,.521,.494,.437,.184,17.0,66.7,40.4,48.6,2.1,5.6,9.6,100.0,104.9,131.7,,Home,SAC,240,46,89,.517,13,35,.371,18,23,.783,14,39,53,24,2,8,10,15,123,,,.620,.590,.393,.258,33.3,83.0,59.6,52.2,2.1,16.3,9.2,100.0,131.7,104.9,,Away,CHO
240,32,89,.360,10,34,.294,25,28,.893,16,28,44,22,11,3,20,24,99,,,.489,.416,.382,.315,29.6,80.0,49.4,68.8,10.5,6.1,16.5,100.0,94.9,129.3,,Away,SAS,240,45,87,.517,18,38,.474,27,34,.794,7,38,45,31,9,7,15,20,135,,,.662,.621,.437,.391,20.0,70.4,50.6,68.9,8.6,12.7,12.8,100.0,129.3,94.9,,Home,CHO
240,33,95,.347,10,41,.244,11,15,.733,17,33,50,17,5,3,15,17,87,,,.428,.400,.432,.158,29.8,89.2,53.2,51.5,5.2,5.4,12.9,100.0,90.2,107.8,,Away,MIA,240,40,81,.494,11,25,.440,13,16,.813,4,40,44,27,6,6,14,15,104,,,.591,.562,.309,.198,10.8,70.2,46.8,67.5,6.2,11.1,13.7,100.0,107.8,90.2,,Home,CHO
240,39,90,.433,19,45,.422,15,18,.833,15,26,41,29,7,8,14,19,112,,,.572,.539,.500,.200,30.6,61.9,45.1,74.4,7.5,19.5,12.5,100.0,119.9,141.4,,Away,NOP,240,44,88,.500,25,47,.532,19,23,.826,16,34,50,32,11,3,13,14,132,,,.673,.642,.534,.261,38.1,69.4,54.9,72.7,11.8,6.7,11.7,100.0,141.4,119.9,,Home,CHO
240,47,84,.560,16,29,.552,14,16,.875,10,30,40,25,9,4,18,16,124,,,.681,.655,.345,.190,27.0,81.1,54.1,53.2,9.3,7.7,16.5,100.0,127.8,123.7,,Home,SAS,240,47,84,.560,15,32,.469,11,17,.647,7,27,34,36,9,3,13,17,120,,,.656,.649,.381,.202,18.9,73.0,45.9,76.6,9.3,5.5,12.4,100.0,123.7,127.8,,Away,CHO
240,35,85,.412,9,37,.243,10,14,.714,7,40,47,23,2,7,17,20,89,,,.488,.465,.435,.165,14.9,87.0,50.5,65.7,2.0,11.7,15.7,100.0,90.2,98.3,,Home,PHI,240,36,85,.424,5,25,.200,20,24,.833,6,40,46,21,7,6,10,12,97,,,.508,.453,.294,.282,13.0,85.1,49.5,58.3,7.1,12.5,9.5,100.0,98.3,90.2,,Away,CHO
240,50,88,.568,14,37,.378,14,18,.778,7,28,35,30,8,4,10,20,128,,,.667,.648,.420,.205,18.9,82.4,49.3,60.0,8.1,9.3,9.4,100.0,130.0,126.9,,Away,MIN,240,44,84,.524,18,41,.439,19,25,.760,6,30,36,34,4,1,13,15,125,,,.658,.631,.488,.298,17.6,81.1,50.7,77.3,4.1,2.0,12.0,100.0,126.9,130.0,,Home,CHO
240,38,87,.437,15,38,.395,15,19,.789,9,39,48,27,5,5,11,22,106,,,.556,.523,.437,.218,18.8,88.6,52.2,71.1,5.1,10.4,10.3,100.0,108.4,115.6,,Away,DET,240,43,86,.500,15,38,.395,12,20,.600,5,39,44,26,4,0,11,17,113,,,.596,.587,.442,.233,11.4,81.3,47.8,60.5,4.1,0.0,10.4,100.0,115.6,108.4,,Home,CHO
240,35,85,.412,9,29,.310,25,32,.781,5,27,32,20,6,7,13,25,104,,,.525,.465,.341,.376,10.6,71.1,37.6,57.1,5.8,12.5,11.6,100.0,99.8,132.4,,Home,HOU,240,50,89,.562,13,33,.394,25,31,.806,11,42,53,34,7,10,14,20,138,,,.672,.635,.371,.348,28.9,89.4,62.4,68.0,6.7,17.9,12.0,100.0,132.4,99.8,,Away,CHO
240,47,92,.511,13,32,.406,15,21,.714,9,26,35,35,7,6,10,22,122,,,.603,.582,.348,.228,20.9,63.4,41.7,74.5,7.1,11.5,9.0,100.0,123.2,135.3,,Home,UTA,240,52,93,.559,17,41,.415,13,17,.765,15,34,49,38,6,6,14,18,134,,,.667,.651,.441,.183,36.6,79.1,58.3,73.1,6.1,10.0,12.2,100.0,135.3,123.2,,Away,CHO
240,37,81,.457,11,32,.344,7,14,.500,9,32,41,23,4,6,14,14,92,,,.528,.525,.395,.173,20.5,82.1,49.4,62.2,4.4,12.8,13.8,100.0,100.7,123.7,,Home,NYK,240,44,84,.524,12,37,.324,13,16,.813,7,35,42,25,5,3,9,16,113,,,.621,.595,.440,.190,17.9,79.5,50.6,56.8,5.5,6.1,9.0,100.0,123.7,100.7,,Away,CHO
240,40,90,.444,16,46,.348,14,17,.824,9,31,40,25,4,6,10,18,110,,,.564,.533,.511,.189,21.4,73.8,47.6,62.5,4.2,10.3,9.3,100.0,116.2,123.6,,Home,CHI,240,45,87,.517,11,29,.379,16,22,.727,11,33,44,28,4,7,10,13,117,,,.605,.580,.333,.253,26.2,78.6,52.4,62.2,4.2,15.9,9.4,100.0,123.6,116.2,,Away,CHO
