mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,Location,Opponent,opp_mp,opp_fg,opp_fga,opp_fg_pct,opp_fg3,opp_fg3a,opp_fg3_pct,opp_ft,opp_fta,opp_ft_pct,opp_orb,opp_drb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,opp_pts,opp_game_score,opp_plus_minus,opp_ts_pct,opp_efg_pct,opp_fg3a_per_fga_pct,opp_fta_per_fga_pct,opp_orb_pct,opp_drb_pct,opp_trb_pct,opp_ast_pct,opp_stl_pct,opp_blk_pct,opp_tov_pct,opp_usg_pct,opp_off_rtg,opp_def_rtg,opp_bpm,opp_Location,opp_Opponent
240,44,87,.506,14,35,.400,11,17,.647,9,35,44,30,13,5,11,18,113,,,.598,.586,.402,.195,21.4,76.1,50.0,68.2,13.7,10.9,10.4,100.0,118.8,102.0,,Home,MIA,240,34,83,.410,10,37,.270,19,22,.864,11,33,44,26,5,2,16,21,97,,,.523,.470,.446,.265,23.9,78.6,50.0,76.5,5.3,3.8,14.7,100.0,102.0,118.8,,Away,PHO
240,46,102,.451,8,28,.286,15,22,.682,16,34,50,29,5,6,12,27,115,,,.515,.490,.275,.216,29.1,69.4,48.1,63.0,4.7,12.5,9.7,100.0,108.3,114.0,,Home,MEM,240,43,97,.443,17,49,.347,18,24,.750,15,39,54,29,7,8,18,24,121,,,.562,.531,.505,.247,30.6,70.9,51.9,67.4,6.6,10.8,14.3,100.0,114.0,108.3,,Away,PHO
240,38,77,.494,10,30,.333,25,29,.862,5,20,25,17,6,4,14,20,111,,,.618,.558,.390,.377,13.2,64.5,36.2,44.7,6.2,7.1,13.5,100.0,114.9,142.9,,Away,LAC,240,53,85,.624,15,29,.517,17,23,.739,11,33,44,32,11,3,14,21,138,,,.725,.712,.341,.271,35.5,86.8,63.8,60.4,11.4,6.4,12.8,100.0,142.9,114.9,,Home,PHO
240,46,93,.495,14,39,.359,21,23,.913,13,33,46,23,12,3,13,16,127,,,.616,.570,.419,.247,30.2,82.5,55.4,50.0,12.0,6.5,11.2,100.0,126.7,108.7,,Away,LAL,240,40,80,.500,13,34,.382,16,25,.640,7,30,37,33,8,4,18,19,109,,,.599,.581,.425,.313,17.5,69.8,44.6,82.5,8.0,7.4,16.5,100.0,108.7,126.7,,Home,PHO
240,46,76,.605,13,28,.464,22,27,.815,7,34,41,27,7,5,14,20,127,,,.723,.691,.368,.355,22.6,73.9,53.2,58.7,7.3,10.6,13.7,100.0,132.5,121.0,,Away,POR,240,40,89,.449,20,42,.476,16,22,.727,12,24,36,23,8,1,14,21,116,,,.588,.562,.472,.247,26.1,77.4,46.8,57.5,8.3,2.1,12.4,100.0,121.0,132.5,,Home,PHO
240,42,85,.494,17,37,.459,18,20,.900,8,38,46,32,7,6,20,15,119,,,.634,.594,.435,.235,23.5,88.4,59.7,76.2,6.8,11.5,17.6,100.0,114.8,112.9,,Home,SAC,240,46,92,.500,18,40,.450,7,12,.583,5,26,31,34,7,4,14,20,117,,,.601,.598,.435,.130,11.6,76.5,40.3,73.9,6.8,8.3,12.6,100.0,112.9,114.8,,Away,PHO
240,46,93,.495,15,41,.366,16,21,.762,7,41,48,32,7,3,10,17,123,,,.602,.575,.441,.226,17.5,82.0,53.3,69.6,6.8,5.9,8.9,100.0,119.5,105.9,,Away,NOP,240,41,93,.441,10,42,.238,17,23,.739,9,33,42,27,4,5,11,16,109,,,.529,.495,.452,.247,18.0,82.5,46.7,65.9,3.9,9.6,9.6,100.0,105.9,119.5,,Home,PHO
240,47,82,.573,8,25,.320,15,18,.833,6,38,44,25,7,5,17,24,117,,,.651,.622,.305,.220,18.8,73.1,52.4,53.2,7.1,7.9,15.9,100.0,118.1,111.0,,Home,IND,240,41,94,.436,14,31,.452,14,23,.609,14,26,40,28,9,4,11,20,110,,,.528,.511,.330,.245,26.9,81.3,47.6,68.3,9.1,7.0,9.6,100.0,111.0,118.1,,Away,PHO
240,44,85,.518,14,34,.412,13,17,.765,5,34,39,32,5,5,7,13,115,,,.622,.600,.400,.200,13.2,70.8,45.3,72.7,5.4,8.9,7.0,100.0,123.2,121.1,,Home,CHI,240,45,93,.484,14,37,.378,9,14,.643,14,33,47,25,6,4,10,18,113,,,.570,.559,.398,.151,29.2,86.8,54.7,55.6,6.4,7.8,9.2,100.0,121.1,123.2,,Away,PHO
240,51,85,.600,14,34,.412,16,22,.727,11,38,49,30,10,4,16,20,132,,,.697,.682,.400,.259,32.4,79.2,59.8,58.8,10.1,8.7,14.5,100.0,133.7,110.4,,Away,DAL,240,41,89,.461,17,43,.395,10,18,.556,10,23,33,25,4,3,14,16,109,,,.562,.556,.483,.202,20.8,67.6,40.2,61.0,4.1,5.9,12.6,100.0,110.4,133.7,,Home,PHO
