Player,PCA1_1,PCA2_1,PCA3_1,PCA3_2,PCA4_1,PCA5_1,PCA5_2
Damion Lee,0.6273628370029314,-0.01787009340005265,-0.1042893589521825,0.3509984824731635,-0.35203223737082073,1.144420946026489,0.9424283978494687
Damyean Dotson,-0.6928008974165576,-1.3085635509006017,-1.5344671294776142,-0.8285898557991158,-1.493882459542945,-0.18422787827230902,-1.6906595015105912
Daniel Gafford,1.088085171778418,0.6158260215146445,0.5683245488089299,1.2983901275145286,3.83963112371201,2.133973580330635,-2.5869246473260867
Daniel Oturu,-1.4935946792812054,-2.1009418167801375,-2.1690842956597067,-0.2801120376816157,-0.7391909577097598,-0.1366318884600309,-0.9829374432972703
Daniel Theis,0.2295050211579715,0.08205002814468608,0.013412688395350645,0.9189808669831822,1.3812501100195775,0.7976092105343231,-0.49935004401389704
Danilo Gallinari,-0.27916399489079124,0.57241121281524,-0.6263341360157094,0.07792873646593038,-0.4236335358675401,0.8607450032210612,0.8360925948952375
Danny Green,-0.20811629253965802,-1.12026325973655,-0.0941950701641602,0.3715376026006733,-0.7816465673190784,-0.7476209820784985,0.7046240325728699
Dante Exum,-0.05473140605168103,-0.6962330074663332,0.4831157516336709,-0.2549037145931191,-0.4415031167396492,0.5718143594774494,0.07353804933310688
Danuel House Jr.,-0.41676116678024816,-0.8892821586819104,-0.7394762692467601,-0.020094860780423492,-0.7155347782455272,-0.5405958405070854,0.3728913942366259
Dario Šarić,-0.02492664200884373,0.025589055629466,0.17981643234801267,0.3803794178069409,0.2548101315015439,0.9832279278761787,0.7438511061342902
Dariq Whitehead,-1.5435873067153656,-2.1863647440471037,-2.2483750789314123,-1.2868889804653323,-0.672926382528185,-2.7223026116761067,-1.1060999416792583
Darius Bazley,-0.11854875359276948,-0.1762365999384772,-0.4964273257275817,-0.5210958723312031,0.9476261687025154,-0.12330531106410901,-0.26141242176949414
Darius Days,-1.8638679591878475,-1.6097254357530695,-2.324859628736117,-0.34590634400594894,-1.0467788175391963,2.2180993727493576,-0.20126923965051208
Darius Garland,3.163738964460142,5.772873486991337,4.62747399625744,-1.9325022752055399,-0.5442034690352048,0.836822839511281,0.9447700153099317
Darius Miller,-1.2158881753725759,-1.5856644772631325,-0.6849640722317761,-0.49474104011141734,-1.2743130329095662,2.4718249437891697,0.5447894009339326
Darren Collison,-1.499158538433936,-2.5448042278229144,-0.8478127409239549,0.7647303568130814,-1.6896183110808987,-2.7017998219495234,-2.4599197773986976
David Duke Jr.,-1.0713057474395042,-1.0053531998885612,-0.4678637942820403,0.140809395343865,-0.6763612923216249,0.5411836605390766,0.2849461103962188
David Johnson,-2.2579555732850083,-3.2510022679404535,-2.7252327095412885,-0.7917693453853103,-2.421524421703485,-6.422658214713377,-0.6015011990033637
David Nwaba,-0.07544416674062628,0.07971114001136552,0.009617950846339282,0.5497111768441825,0.749413049709146,0.7225599534899346,-0.12614462191971149
David Roddy,0.1130391343627778,-0.585192990594927,-0.7819352884390804,-0.14643797705279865,-0.4095363353568067,0.1358434692028376,0.07857184417921477
Davion Mitchell,1.1442084338000027,0.0858048028833526,0.43630824545872937,-0.3174684331427107,-1.177423677996943,0.5554076882835837,0.3095134093833955
Davon Reed,-0.9298904400773197,-2.1839712542641716,-1.2147353907629048,-0.10000899379823872,-1.3945649352718827,0.9330119256194292,0.3102557207201618
Day'Ron Sharpe,-0.24537509481866968,-0.6242126039498295,-0.10970099571674694,0.8088181086398428,2.286255190497423,1.3009010481792964,-0.1612656042804639
De'Aaron Fox,3.4397835259697027,8.527173136792786,4.747624375656852,-0.5344536381612818,0.599370826056953,0.8088564067312305,0.22143579921947631
De'Andre Hunter,2.089060905580145,3.6461297542236393,1.2974385997865556,1.4047368409779633,0.5760986653443023,0.8449591138924153,0.638837898603244
De'Anthony Melton,1.4778410915024738,1.4055713677642503,2.232326424786395,0.25723585772305274,0.6922110514743719,0.43007670703608486,0.9556340460786662
DeAndre Jordan,-0.03634364586855596,-1.206050328666396,-0.4740328190691865,0.49027107898781214,2.3262424420276266,1.9413136873437422,-1.8891908546922396
DeAndre' Bembry,0.10215231573001429,-1.4106167753840595,0.33165164857411095,0.5304375991101623,-0.27120294274123247,0.40890114203011146,-0.707154479719204
DeJon Jarreau,-1.6733184091080822,-2.0563229413172825,-0.9504354065237528,-0.5155137881532426,-0.7297607493028401,-3.8747992121048855,-0.163613148899057
DeMar DeRozan,3.855424716152668,8.48437323104698,3.190799095174182,-0.703143544748587,0.9106628362048282,0.866999064135007,0.4715080522638029
DeMarcus Cousins,-0.41784932930521657,0.9335651672893754,1.6145454703442499,1.2418343373417426,2.10732128271144,0.6126225873279502,0.34672352765411
Dean Wade,0.8966413239379344,-0.9720856796952257,-0.28692210525390266,0.6188068097430678,0.20880583803055422,0.8916427932014954,0.3540524719410707
Deandre Ayton,2.967258841991326,3.843352243859692,1.442610192803635,1.0121166551715097,5.780510872174745,1.6662994011702268,-0.6319208997647852
Deividas Sirvydis,-1.5761119958588314,-2.386926713355415,-1.2279993433078977,0.08017853719856152,-1.2494896044001456,-2.9753200129435924,0.20136582202164344
Dejounte Murray,3.733968612936411,5.938922915502434,4.294315922425027,-1.5981538879644792,1.9172120364875889,0.6170365594566205,0.5360844917953708
Delon Wright,0.504641713828263,-0.03297826146652532,1.4032865287935228,-0.9975528986650717,0.014262856176088006,0.5375522939973814,0.8506998508224524
Deni Avdija,2.2232060898413044,1.2216890210619835,1.5737300093017317,0.851630448365024,1.7513429668390474,0.564892322158131,0.2418327543436817
Dennis Schröder,1.8997417126509202,3.223682676438504,3.0132549448060697,-0.6228173187530608,-0.2193753466262064,0.4041975640527611,0.8676266442210284
Dennis Smith Jr.,-0.20364146989229467,-0.14728336320541624,1.7360946761630223,-0.2306950354983519,-0.40827292797870157,-0.5309128999951862,0.21319261708808784
Denzel Valentine,-0.9459678575399637,-1.6825406954780837,-0.8538549425668758,-0.03230561566647845,-1.0406034805284337,-0.1724978484873348,-0.4716627151426605
Deonte Burton,-2.1280704339087095,-3.152725854675275,-2.7252327095412885,-0.7917693453853103,-2.421524421703485,-6.422658214713377,-0.6015011990033637
Dereck Lively II,1.7332201177631372,0.2524765477506458,0.7921550954164454,1.4720222005484815,4.250258579631131,2.3384844771831736,-3.148191406549835
Dereon Seabron,-1.8589202479694453,-2.507204258166064,-2.119599845193336,-0.42488850596406,-1.819399213243056,-1.510973359014747,-0.10325881837823402
Derrick Favors,0.2597225537469256,-0.9393307429616337,-0.5491429760666059,0.9560374112656704,1.9898264471365188,0.9280808698988369,-1.6229716402874441
Derrick Jones Jr.,1.2843985092226242,-0.32561579361529447,-0.17748339768995397,0.7921358863610168,0.6792004322571169,1.2179430787479235,-0.027172371399707372
Derrick Rose,-0.16130091697125595,2.061116491321217,0.9896799436336639,-1.3261400415520879,-0.551354138476445,0.6051945005718203,0.9907734680893877
Derrick Walton,0.12625393547453143,0.39861091596542886,6.863930447258166,-1.0418139275051352,1.378815300721186,-1.9114216849812853,1.6421988802214116
