Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Year
Bol Bol,21,DEN,PF,32,2,5.0,0.8,1.8,0.431,0.3,0.8,0.375,0.5,1.1,0.471,0.509,0.3,0.5,0.667,0.0,0.8,0.8,0.2,0.1,0.3,0.4,0.4,2.2,,2021
Bones Hyland,23,LAC,PG,37,5,14.6,2.6,6.8,0.386,1.2,3.6,0.326,1.4,3.1,0.457,0.474,0.5,0.6,0.783,0.1,1.4,1.5,2.5,0.7,0.1,1.2,1.4,6.9,,2024
Brad Wanamaker,32,IND,PG,22,1,13.3,1.2,3.3,0.361,0.2,0.8,0.235,1.0,2.5,0.4,0.389,0.9,1.0,0.909,0.3,1.3,1.6,2.2,0.2,0.3,1.0,1.9,3.5,,2022
Bradley Beal,30,PHO,SG,53,53,33.3,7.1,13.9,0.513,1.9,4.4,0.43,5.2,9.4,0.552,0.582,2.1,2.5,0.813,1.0,3.4,4.4,5.0,1.0,0.5,2.5,2.4,18.2,,2024
Brandin Podziemski,20,GSW,SG,74,28,26.6,3.7,8.1,0.454,1.2,3.2,0.385,2.4,4.9,0.499,0.529,0.7,1.1,0.633,1.6,4.2,5.8,3.7,0.8,0.2,1.2,1.6,9.2,ROY-5,2024
Brandon Boston Jr.,22,LAC,SF,32,0,10.8,2.0,5.0,0.404,0.4,1.6,0.269,1.6,3.4,0.468,0.447,0.7,1.0,0.697,0.6,1.0,1.6,0.4,0.3,0.3,0.8,1.3,5.2,,2024
Brandon Clarke,26,MEM,PF,56,8,19.5,4.1,6.2,0.656,0.0,0.1,0.167,4.1,6.1,0.665,0.658,1.8,2.4,0.723,1.6,3.9,5.5,1.3,0.6,0.7,1.0,2.3,10.0,,2023
Brandon Goodwin,26,CLE,PG,36,5,13.9,1.8,4.3,0.416,0.5,1.5,0.345,1.3,2.8,0.455,0.477,0.7,1.1,0.632,0.4,1.5,1.9,2.5,0.7,0.0,1.0,1.1,4.8,,2022
Brandon Ingram,26,NOP,SF,64,64,32.9,7.8,15.9,0.492,1.3,3.8,0.355,6.5,12.1,0.534,0.534,3.8,4.8,0.801,0.7,4.4,5.1,5.7,0.8,0.6,2.5,2.3,20.8,,2024
Brandon Knight,30,DAL,PG,5,0,13.0,2.0,5.0,0.4,0.8,3.4,0.235,1.2,1.6,0.75,0.48,1.6,1.6,1.0,0.0,1.6,1.6,1.6,0.2,0.0,0.8,1.0,6.4,,2022
