Player,Year,Team,Stat,Value-Stat
Duane Causwell,1993,SAC,BLK,1.6
Sam Bowie,1993,NJN,BLK,1.6
Chris Dudley,1993,NJN,BLK,1.5
Robert Parish,1993,BOS,BLK,1.4
LaPhonso Ellis,1993,DEN,BLK,1.4
Jon Koncak,1993,ATL,BLK,1.3
Reggie Miller,1993,IND,3P,2.0
Dan Majerle,1993,PHO,3P,2.0
Danny Ainge,1993,PHO,3P,1.9
Terry Porter,1993,POR,3P,1.8
Glen Rice,1993,MIA,3P,1.8
Mark Price,1993,CLE,3P,1.6
Chuck Person,1993,MIN,3P,1.5
Joe Dumars,1993,DET,3P,1.5
Mookie Blaylock,1993,ATL,3P,1.5
Hersey Hawkins,1993,PHI,3P,1.5
Dell Curry,1993,CHH,3P,1.2
Matt Bullard,1993,HOU,3P,1.2
Craig Ehlo,1993,CLE,3P,1.1
Nick Anderson,1993,ORL,3P,1.1
Michael Jordan,1993,CHI,3P,1.0
Scott Skiles,1994,ORL,PTS,9.9
Buck Williams,1994,POR,PTS,9.7
George Lynch,1994,LAL,PTS,9.6
Chris Mills,1994,CLE,PTS,9.4
Danny Ainge,1994,PHO,PTS,8.9
Doug Smith,1994,DAL,PTS,8.8
Victor Alexander,1994,GSW,PTS,8.7
Allan Houston,1994,DET,PTS,8.5
Bobby Phills,1994,CLE,PTS,8.3
Bison Dele,1994,DEN,PTS,8.0
Kenny Gattison,1994,CHH,PTS,7.7
Gary Grant,1994,LAC,PTS,7.5
Rolando Blackman,1994,NYK,PTS,7.3
Anthony Mason,1994,NYK,PTS,7.2
Matt Geiger,1994,MIA,PTS,7.2
Mookie Blaylock,1994,ATL,AST,9.7
Kevin Johnson,1994,PHO,AST,9.5
Mark Price,1994,CLE,AST,7.8
Micheal Williams,1994,MIN,AST,7.2
Michael Adams,1994,WSB,AST,6.9
Isiah Thomas,1994,DET,AST,6.9
Scott Skiles,1994,ORL,AST,6.1
Scottie Pippen,1994,CHI,AST,5.6
Nate McMillan,1994,SEA,AST,5.3
Dana Barros,1994,PHI,AST,5.2
Terry Porter,1994,POR,AST,5.2
Chris Mullin,1994,GSW,AST,5.1
Lindsey Hunter,1994,DET,AST,4.8
David Robinson,1994,SAS,AST,4.8
Latrell Sprewell,1994,GSW,AST,4.7
Hakeem Olajuwon,1994,HOU,DRB,9.1
Karl Malone,1994,UTA,DRB,8.6
Patrick Ewing,1994,NYK,DRB,8.4
Charles Barkley,1994,PHO,DRB,8.1
Derrick Coleman,1994,NJN,DRB,7.9
David Robinson,1994,SAS,DRB,7.7
Brad Daugherty,1994,CLE,DRB,7.6
Charles Oakley,1994,NYK,DRB,7.5
Vlade Divac,1994,LAL,DRB,7.2
Shawn Kemp,1994,SEA,DRB,6.8
Horace Grant,1994,CHI,DRB,6.6
Buck Williams,1994,POR,DRB,6.5
Scottie Pippen,1994,CHI,DRB,6.3
Larry Johnson,1994,CHH,DRB,6.0
LaPhonso Ellis,1994,DEN,DRB,5.8
Dennis Rodman,1994,SAS,ORB,5.7
Horace Grant,1994,CHI,ORB,4.4
Charles Oakley,1994,NYK,ORB,4.3
Buck Williams,1994,POR,ORB,3.9
Shawn Kemp,1994,SEA,ORB,3.9
Popeye Jones,1994,DAL,ORB,3.7
Vlade Divac,1994,LAL,ORB,3.6
Derrick Coleman,1994,NJN,ORB,3.4
George Lynch,1994,LAL,ORB,3.1
David Robinson,1994,SAS,ORB,3.0
